,authors
383,Ricardo Buera Corchón
384,Márton Karsai
385,Jichao Li
386,Andrew King
387,Gergő Tóth
388,Henry Smart Iii
389,Scott Althaus
390,Edwin de Jonge
391,Yerka Freire-Vidal
392,Yohsuke Murase
393,David Martens
394,Eric Fleury
395,Mykola Makhortykh
396,Milan Janosov
397,Luca Verginer
398,Daniele Guariso
399,Anastasia Salter
400,Quinten Meertens
401,Alexander Robertson
402,Cesar Hidalgo
403,Yan Leng
404,Atte Oksanen
405,Timo Hartmann
406,Kangsan Lee
407,Duncan Watts
408,Hyejin Youn
409,Vincent Antonio Traag
410,Hendrik Nunner
411,Fabrício Benevenuto
412,Joana Mendonça
413,Daniel Larremore
414,Chung-Hong Chan
415,Max Pellert
416,Jana Diesner
417,David Rothschild
418,Nicolas Todd
419,Brigitta Németh
420,Martin Hilbert
421,Gita Sukthankar
422,Kasper Welbers
423,Azadeh Nematzadeh
424,Felix Victor Münch
425,Frank van der Wouden
426,Yelena Mejova
427,Rudy Arthur
428,Isaac Waller
429,Arnout van Delden
430,Zoltán Kmetty
431,Iyad Rahwan
432,Jennifer Allen
433,Yuan Yuan
434,Jonathan Bright
435,Pradip Swarnakar
436,Justin Chun-Ting Ho 
437,Juan Mateos-Garcia
438,Alex Pentland 
439,Daniel Rubenstein
440,Gunter Maris
441,Markus Mobius
442,Bedoor AlShebli 
443,Yi Bu
444,Jianjun Sun
445,Ali Faqeeh
446,Ying Ding
447,Daniele Romanini
448,Michaela Maier
449,Daniele Quercia
450,Kokil Jaidka
451,Milena Tsvetkova
452,Peter Van Aelst
453,Mahmoudreza Babaei
454,Johnnatan Messias
455,Xi Zhang
456,Simon A. Levin
457,Stefan Wojcik
458,Tara Sowrirajan
459,Tim Henrichsen
460,Sebastian Deri
461,Koen Schoors
462,Diego Garlaschelli
463,Giovanna Miritello
464,Yaneer Bar-Yam
465,Marco Schmitt
466,Nicos Nicolaou
467,Sophie Cho
468,Clara Christner
469,Joseph D. O Brien
470,Christina Bouwens
471,Ju-Sung Lee
472,Rahul Arulkumaran
473,Massimo Riccaboni
474,Lisa Merten
475,Jennifer Wortman Vaughan
476,Antonio Lima
477,Alina Arseniev-Koehler
478,Aleksandra Nenko
479,Alexander Mantzaris
480,Jingwen Zhang
481,Jake Hofman
482,Muyang Li
483,Vetle I. Torvik
484,Robert West
485,Bjarke Mørch Mønsted
486,Anna May
487,Dana Fisher
488,Frank Schweitzer
489,Yphtach Lelkes
490,Lijun Sun
491,Takayuki Mizuno
492,Zijian Wang
493,Edgar Morales Ramírez
494,Ashton Anderson
495,Janos Kertesz
496,Riccardo Gallotti
497,Marta González
498,C. Lee Giles
499,Anna Di Natale
500,Janos Török
501,Júlia Koltai
502,Stephen M. Fiore
503,Gabriella Kazai
504,Kyriacos Vitalis
505,Barbara McGillivray
506,Gomez Vicenç
507,Carlos Sarraute
508,Marta Rivera-Alba
509,Çağrı Yoltar
510,Ali Hürriyetoğlu
511,Anamaria Berea
512,George Vega Yon
513,Elizabeth Bruch
514,Hee Youn Kwon
515,Damian Trilling
516,Tobias Schröder
517,Simone Centellegher
518,Irina Vartanova
519,Ian Wood
520,Forough Poursabzi-Sangdeh
521,Hugo Sousa
522,Nisha Baral
523,Gael Le Mens
524,Pietro Panzarasa 
525,Aniko Hannak
526,George Richardson
527,Axel Bruns
528,Frank Takes
529,Ioannis K. Dassios
530,Davide Vega
531,Sharon Goldwater
532,Przemyslaw Grabowicz
533,Gerardo Iñiguez
534,Amirarsalan Rajabi
535,Ivan Garibay 
536,Arnout van de Rijt
537,Pasquale De Meo
538,Avidit Acharya
539,Andrea Cavicchini
540,Karsten Donnay
541,Eelke Heemskerk
542,Chaoming Song
543,Marc Keuschnigg
544,Vítor V. Vasconcelos
545,Haewoon Kwak
546,Niccolo Pescetelli
547,Alexandru-Ionut Babeanu
548,Alice Jang
549,Marcella Morris
550,Samin Aref
551,Flaminio Squazzoni
552,Robert West 
0,Frank Peter Pijpers
1,Martin Lukac 
2, André Grow
4, Gianmarco De Francisci Morales
5, Aristides Gionis 
6, Michael Mathioudakis
7,Eaman Jahani
8, Peter Krafft
9, Yoshihiko Suhara
10, Esteban Moro 
11, Alex Pentland
12,Gabriel Murray
13,Ivan Smirnov 
14, Sofia Dokuka
15,Zhen Zhu
16, Bart Baesens 
17, Xu Wang
18,Yifan Qian 
19, Pietro Panzarasa
21,Annie Haakenstad
22, Margaret McConnell 
23, Stephane Verguet
24,Hannes Rosenbusch
25, Ilse Pit
26, Florian Wanders
27,Mi Jin Lee
28, Eun Lee
29, Deok-Sun Lee 
30, Sang Hoon Lee
31,André Grow 
32, Jan Van Bavel
33,Valerie Hase
34, Kimon Kieslich
35, Katherine Engelke 
36, Jing Zeng
37,Sjoerd Hooijmaaijers 
38, Gert Buiten
39,Francesco Granella
40,Jeroen Bruggeman
41,Philipp Kling
42,Andrew Rosenberg
43,Jan van der Laan 
44, Edwin de Jonge
45,Anton Boichenko
46,Yoosoon An
47,Huimin Xu
48, Lingfei Wu 
49, Cheng-Jun Wang
50,Zachary Steinert-Threlkeld 
51, Jungseock Joo
52,Toshiya Saito 
53, Takayuki Mizuno
54,Emily Bello-Pardo
55, Carly Knight
56, Jeff Lockhart
57, Stan Oklobdzija
58, Iacopo Pozzana
59, Martijn Schoonvelde 
60, Carsten Schwemmer
61,Alessandro Cossard
63, Yelena Mejova 
64, Daniela Paolotti
65,Nicolas Cointe
66, Amineh Ghorbani 
67, Caspar Chorus
68,Nadezhda Sokolova 
69, Mikhail Sokolov
71, Alberto Sánchez-Carralero
72, Jaime Oliver 
73, Luis C. Reyes
74,Guy Laban
75,Bianca Kang 
76, Ringo Ho
77,Ryo Hamawaki
78, Junichi Ozaki
79, Kiyoshi Izumi
80, Takashi Shimada
81, Hiroyasu Matsushima 
82, Hiroki Sakaji
83,Sahil Loomba
84, Till Hoffmann 
85, Nick Jones
87, Johannes Wachs
88, Ákos Jakobi
89, Riccardo Di Clemente
90, Bence Ságvári
91, János Kertész 
92, Balazs Lengyel
93,Daniela Gawehns
94, Guida Veiga 
95, Matthijs van Leeuwen
96,Yoshiki Ishikawa 
97, Takanori Nishida
98,Elisa Oertel
99,Peter Ejbye-Ernst
100, Marie Lindegaard 
101, Wim Bernasco
102,Maxime Stauffer
103, Igor Krawczuk 
104, Nora Ammann
105,Kieran Mepham
106, András Vörös 
107, Christoph Stadtfeld
108,Masanori Takano
109, Fumiaki Taka
110, Soichiro Morishita
111, Tomosato Nishi 
112, Yuki Ogawa
113,Jeroen van Den Ochtend
114, Raluca Gui
115, Markus Meierer 
116, René Algesheimer
117,Adrien Benamira
118, Benjamin Devillers
119, Etienne Lesot
120, Ayush K. Rai
121, Manal Saadi 
122, Fragkiskos Malliaros
123,Lorena Cano-Orón
124,Dimitra Liotsiou 
125, Philip Howard
126,Martyn Harris
127, Mark Levene
128, Dan Levene 
129, Dell Zhang
130,Jianjian Gao
131, Caterina Gennaioli
134,Guanghua Chi
135, Bogdan State
136, Lada Adamic 
137, Joshua Blumenstock
138,Neda Paryab
139, Alexander Sachs
140, Andrew Li
141, Meiyappan Nagappan 
142, Jesse Hoey
143,Javier Alvarez-Galvez 
144, Victor Suarez-Lledo
145,Dhruv Sapra 
146, Aniket Alam
147,Evgenia Dolgova
148, Zuzana Sasovova 
149, Michaela Schippers
150,Alexandre Leroux 
151, Matteo Gagliolo
152,Abeer Aldayel 
153, Walid Magdy
154,Frederico Francisco 
155, Joana Gonçalves-Sá
156,Radim Hladik
157,Peter Davis 
158, Roy Lay-Yee
159,Chunying Wen
160, Ming Xiao
161, Xin Sui 
162, Yimeng Yang
163,Renáta Németh
164, Domonkos Sik
165, Fanni Máté 
166, Eszter Katona
168,Arseny Rasov
169, Viacheslav A. Shibaev 
170, Ivan Yamshchikov
171,Anne Cornelia Kroon
172, Damian Trilling
173, Antske Fokkens
174, Felicia Loecherbach
175, Judith Moeller
176, Mariken A.C.G. van der Velden 
177, Wouter Van Atteveldt
178,Itto Kornecki
179, Nuno Araujo 
180, Trivik Verma
181,Yuki M. Asano 
182, Gesa Biermann
184, Alfredo Morales
185, Dan Calacci
186, Daniel C. Fehder
187, Fiona Murray 
190,Vsevolod Suschevskiy
191, Ilya Musabirov
192, Denis Bulygin 
193, Ekaterina Marchenko
194,Diego Fregolente Mendes de Oliveira 
195, Kevin S. Chan
197, Dániel Kondor 
198, Gabor Vattay
199,Douglas Guilbeault
200, Joshua Becker 
201, Samuel Woolley
203, Massimo Riccaboni
204, Pietro Panzarasa 
205, Xiancheng Li
206,Sébastien Lerique 
207, Camille Roth
208,Demetris Avraam
209, Christos Nicolaides
210,Luis Cueto-Felgueroso
211, Marta C. Gonzalez
212, Ruben Juanes
213,Aleksandra Aloric
214, Javier Garcia-Bernardo
216, Allison Morgan
217, Zohar Neu 
218, Andrea Santoro
219,Masashi Miura
220, Haruhiko Maenami 
221, Shingo Takahashi
222,Jianliang Yang
223, Lin Wang
224, Chenghua Guan
225, Alex Pentland 
226, Xiangfei Yuan
227,Alicia Eads
228, Alexandra Schofield
229, Fauna Mahootian
230, David Mimno
232," Rens Wilderom
"
233,Qiankun Zhong 
234, Seth Frey
235,Svetlana Zhuchkova 
236, Aleksei Rotmistrov
238, Jaron Harambam 
239, Dimitrios Bountouridis
240,Zahra Sheikhbahaee 
241, Isabel Valera
242,Xiaoyu Zhang
243,Anupama Aggarwal
244, Claudia Wagner
245, Fabian Flöck
246, Ali Aghelmaleki 
247, Julian Kohne
248,Tobias Buchmann 
249, Patrick Wolf
250,Maayan Levinson
251, Yuval Benjamini 
252, Liat Ayalon
254, Shahad Althobaiti 
255, Ahmad Alabdulkareem 
256, Iyad Rahwan
264,Sofia Dokuka
265, Maksim Tsvetovat
266, Kate Furman 
267, Alex Furman
268,Zhen Zhu 
269, Lingqing Jiang
271, Paul Expert
273, Mauricio Barahona
274,Martin Lukac
277, Dean Eckles
278,Daniele Rama
279, Michele Tizzoni
280, Yelena Mejova
281, Kyriaki Kalimeri 
282, Ingmar Weber
284, Austin Benson 
285, Johan Ugander
287, Fariba Karimi
288, Claudia Wagner 
289, Kristina Lerman
290,Je Hoon Chae
291, Sang Yup Lee
292,Armin Mertens
293, Franziska Pradel
294, Ayjeren Rozyjumayeva 
295, Jens Wäckerle
296,Luce le Gorrec
297, Sandrine Mouysset 
298, Daniel Ruiz
300, Michaela Maier
301, Viktor Aigenseer
302, Aleksandra Urman 
303, Clara Christner
304,Selin Köksal 
305, Chiara Allegri
306,Ana Alonso-Curbelo
308, Benjamin Vandermarliere 
309, Koen Schoors
311,Sandra Wankmüller
312,Yasuhiro Kitakami 
313, Tomo Ogawa
315, Ridhi Kashyap
316, Ingmar Weber 
317, Masoomali Fatehkia
318,Hugo de Vos
319, Suzan Verberne 
320, Bernard Steunenberg
321,Ellie Yang
322, Dhavan Shah
323, Douglas Mcleod
324, William Sethares
325, Zhongkai Sun
326, Steve Guo 
327, Xinyi Wang
328,Henri Kauhanen 
329, George Walkden
330,Wenjun Liao 
331, Chenghua Lin
332,Satyam Mukherjee 
333, Tarun Jain
334,Wojtek Przepiorka 
335, Andreas Diekmann
336,Ulf Liebe
337, Jennifer Gewinner 
340, Alina Sirbu
341, Fosca Gianotti 
342, Dino Pedreschi
344, Brooke M. Bell
345, George G. Vega Yon
346, Abu Sayeed Mondol
347, Ridwan Alam
348, Meiyi Ma
349, Ifat Emi
350, John Lach
351, John Stankovic 
352, Donna Spruijt-Metz
353,Bruno Toshio Sugano 
354, Kazutoshi Sasahara
355,Wim Bernasco
357, Isabelle Tingzon
358, Vedran Sekara
359, Stephanie Sy
360, Manuel Garcia-Herranz 
362,Guangqing Chi
363, Junjun Yin
364, Jennifer Van Hook
365, Eric Plutzer 
366, Heng Xu
367,Nan Zhang 
369,Kleber A. Oliveira
370, Felipe M. Cardoso
371, Andre Santanche
372, James P. Gleeson 
373, Ali Faqeeh
374,Gerrit Jan de Bruin
375, Cor Veenman
376, Jaap van Den Herik 
377, Frank Takes
378,Lorenzo Lucchini
379, Sara Tonelli 
380, Bruno Lepri
382, Simon Schweighofer 
383, David Garcia
384,Martijn Schoonvelde
385, Gijs Schumacher 
386, Christian Pipal
387,Pablo Lozano
388, Sergey Gavrilets 
389, Angel Sanchez
391, David Rothschild
392, Duncan Watts
393, Charles Howland
394, Markus Mobius
395, Marcel Wittich 
396, Melissa Ellamil
397,Giorgia Ramponi
398, Mattia Gasparini 
399, Marco Brambilla
401, Motahhare Eslami
402, Johnnatan Messias
403, Muhammad Bilal Zafar
404, Saptarshi Ghosh
405, Krishna Gummadi 
406, Karrie Karahalios
407,Kostas Stathoulopoulos
408,Iraklis Moutidis
409, Rudy Arthur 
410, Hywel Williams
411,Amir Ebrahimi Fard
412, Haye Hazenberg
413, Jeroen van den Hoven
414, Scott Cunningham
415, Emily Sullivan
416, Mark Alfano 
417, Roel Faber
418,Vadim Voskresenskii
419,Lilia Perfeito
420, Paulo Almeida 
422,Joana Gonçalves-Sá 
423, Cláudio Vieira
424,Benjamin Meindl 
425, Joana Mendonça
427, Juhi Kulshrestha
428, Abhijnan Chakraborty
429, Fabricio Benevenuto
431, Adrian Weller
432,Zoya Khan
433, Priyam Bansal
434, Mansi Sharma 
435, Rishabh Kaushal
437, Wouter van Atteveldt
438, Chung-Hong Chan
439, Hartmut Wessler 
440, Scott Althaus
441,Zeph M. C. van Berlo
442,Sreeja Nair
443, Adriana Iamnitchi 
444, John Skvoretz
446,Marius Sältzer 
447, Samuel Mueller
448,Alberto Antonioni
449, María Pereda
450, Katherine A. Cronin
451, Marco Tomassini 
452, Anxo Sanchez
453,Kyriaki Kalimeri
454, Mariano Gastón Beiró
455, Alessandra Urbinati
456, Andrea Bonanomi
457, Alessandro Rosina 
458, Ciro Cattuto
459,Alla Loseva 
460, Daniel Alexandrov
462, Tyler Amos 
463, Tyler Amos
464,Daniel Straulino
465, Chengcheng Li
466, Sid Ravinutala 
467, Neave O’Clery
468,Graham McNeill 
469, Scott Hale
470,Isabella Loaiza
471, Morgan Frank 
472, Alex ‘Sandy’ Pentland
473,Parizad Bahardoost
474,Moritz Müller
475,Daniel J. Flynn 
477,Seth Frey
478, Bryan Bruns 
479, Curtis Atkisson
480,Stefano Balietti
481, Duncan Watts 
482, Lise Getoor
483,Khyati Mahajan 
484, Samira Shaikh
485,Yibei Chen 
486, Shaojing Sun
487,Shen Yan
488, Homa Hosseinmardi
489, Hsien-Te Kao
490, Shrikanth Narayanan
491, Kristina Lerman 
492, Emilio Ferrara
494, Francisco C. Santos 
495, Alexandre P Francisco
497, Chathika Gunaratne
498, Chathurani Senevirathna 
499, Ivan Garibay
500,Diliara Valeeva
501,Clemens Harten
502,Casandra Ciuchina-Szabo
503, Jakob Palinger
504, Juliano Cavalli
506,Dominika Czerniawska
